flight_id,rmse,aircraft_type
prc776263251,471.17557634205855,A321
prc776263935,372.8615890683,A320
prc776266070,441.42438300702355,B77W
prc776266803,171.84172946181454,B788
prc776285790,150.7215825042794,B788
prc776290784,37.551727127056374,A320
prc776293625,303.1082200923076,A320
prc776294843,73.49758518457632,A320
prc776295721,161.04394342845282,A20N
prc776298978,66.78027048839168,A320
prc776305169,117.9789618000896,A320
prc776310834,65.25887082445036,A320
prc776319313,17.97158113855046,A320
prc776320294,77.18270341490567,B738
prc776334919,27.122090147007068,A20N
prc776336575,81.63139239354437,A20N
prc776346125,104.33044609307092,B788
prc776348006,90.62800363743463,B788
prc776356681,88.44984740345582,A359
prc776361928,171.21834990291265,A332
prc776368476,62.077989021902674,A21N
prc776372420,199.83364890280762,B789
prc776377437,149.57247029290608,A21N
prc776386031,139.39232594396034,A20N
prc776394312,63.059018000311774,A20N
prc776397244,40.63426152053984,B738
prc776397632,78.51970518749981,A320
prc776405281,84.85374871455902,A20N
prc776430038,48.420828573212944,A320
prc776430680,111.10543033826742,B77W
prc776431564,100.69126497560603,B772
prc776433571,230.1137240326514,A359
prc776435980,160.16093070454596,A320
prc776438939,37.08475775743863,B738
prc776443417,407.78870997973286,A332
prc776448528,38.055259528525035,A359
prc776468253,71.10702673502934,A320
prc776482915,74.43556959757727,A320
prc776487577,334.49964227624247,A359
prc776506751,64.92036042034383,A20N
prc776524300,50.8249371590943,A320
prc776526532,115.76467604802086,A20N
prc776527071,103.39182715767267,A320
prc776527225,71.99658740051903,A320
prc776535601,28.59502889841715,A320
prc776562820,24.6621446360033,A20N
prc776564572,35.34139851297825,A320
prc776577103,96.5291446680411,A320
prc776577936,30.806471258876652,A20N
prc776583673,50.96468017738586,A320
prc776593348,101.24361174289749,A320
prc776602423,267.3369517919329,A320
prc776604683,115.15443675292725,A320
prc776620561,62.80138656459602,A20N
prc776622585,40.473846300325334,A20N
prc776626264,481.9765265312208,A321
prc776630774,129.0828911491592,A332
prc776631324,38.61671662328079,A320
prc776666539,42.83979220044153,A320
prc776686279,21.514996266089362,A359
prc776693892,21.012199700359403,A20N
prc776698430,42.60516999680756,A320
prc776703947,84.59439377307109,A20N
prc776706246,45.336090824537955,A320
prc776719478,32.87291767385029,A20N
prc776729835,71.51176504395201,B788
prc776732822,623.3415497000607,B788
prc776742830,245.78651568804003,A359
prc776743757,204.8441795781532,B77W
prc776768989,50.459361971094026,A20N
prc776769054,641.277512034614,A20N
prc776769081,56.738685183341005,A320
prc776771563,47.48589054062953,A20N
prc776799212,129.68602067667396,A20N
prc776808725,86.99787677744689,A320
prc776813217,71.10980818856787,A20N
prc776826033,38.095973736302355,A20N
prc776826817,1336.1281670699127,A306
prc776842427,408.4901165332149,A359
prc776847997,45.58613141501233,A320
prc776849941,160.98827194093064,B77W
prc776857709,94.28806095185492,A20N
prc776861856,50.76814725724591,A20N
prc776880744,99.25523880045938,B789
prc776882979,53.67913295443953,A20N
prc776894978,47.56883128479778,A320
prc776897209,152.12653900384396,B739
prc776900394,72.21318623082566,A20N
prc776901251,164.90275040534044,A320
prc776908663,122.21718291539365,B788
prc776924834,32.52454147042922,A320
prc776930284,66.03543941386233,A359
prc776941761,64.23785101096585,A20N
prc776975910,138.28366342161806,A359
prc776978617,128.4359128619711,A359
prc776998995,64.67768389635235,A20N
prc777003242,47.92253518210837,A20N
prc777014482,22.56049591750037,A20N
prc777019440,96.63134327140652,B738
prc777039576,66.69130749674582,A20N
